rounds,global_train_loss,client_1_train_loss,client_2_train_loss,client_3_train_loss,phase,global_eval_loss,client_1_eval_loss,client_2_eval_loss,client_3_eval_loss
1,0.059632634396455456,0.05050093715610775,0.07417682746411977,0.0537926001608825,train,,,,
2,4.709828426713749,5.043591857632162,4.561895503196959,4.618410314987821,train,,,,
3,0.3691882881301038,0.3185298498946163,0.453078727872564,0.3342428635810567,train,,,,
4,3.4472791256100273,3.3995697450058664,3.7252901900094577,3.2562302623864814,train,,,,
5,3.7912655457815068,3.604157445305272,4.154663248207396,3.6196434002261046,train,,,,
6,0.11440630052733383,0.12057549859951382,0.11633451356447039,0.10901146501831531,train,,,,
7,0.07783294252985064,0.11347482572743285,0.07205958739059731,0.06010500721784524,train,,,,
8,0.25858108345199987,0.1662882827493826,0.2026597614751354,0.360804042125685,train,,,,
9,1.1010120214845678,2.2220556449310984,1.0899046681667754,0.4079429249875295,train,,,,
10,0.38820080661319933,0.24054838229528805,0.7565241515828954,0.18796096935169476,train,,,,
11,0.27901510722152784,0.0675901065139394,0.572814623549075,0.17792385069438563,train,,,,
12,0.16653163563887013,0.11911018898009289,0.2725357457272311,0.11198698130019566,train,,,,
13,0.2300310611194724,0.3354787713120341,0.20456462870424572,0.1842460771250634,train,,,,
14,0.17298159459289963,0.19355660469425834,0.18833090249188916,0.14790214299589055,train,,,,
15,0.19725258277265947,0.17357303548438346,0.1794680022670253,0.22621099053302493,train,,,,
1,,,,,eval,5.4329383942492475,5.382249455227798,5.351021169647612,5.528655487951025
2,,,,,eval,1.323312404028241,0.844516008692938,1.194607380550905,1.7189524316145788
3,,,,,eval,3.7554270540942296,4.089341541777974,3.917765229312841,3.4222949744517344
4,,,,,eval,4.635798374599973,4.7518100153256215,4.783296502223558,4.448250089310584
5,,,,,eval,0.16401850112094224,0.16313515249477298,0.15713574200290448,0.16998668072262926
6,,,,,eval,0.18018537847487223,0.19217322121095565,0.18588269888969267,0.1683287076966589
7,,,,,eval,0.9224720489231097,0.3068554893601983,0.335593280310339,1.7633398178433644
8,,,,,eval,1.6471278417649002,0.9593506475074117,1.6002311140442147,2.1066853839277426
9,,,,,eval,0.8323273812568853,0.8809520655859027,0.830222772442075,0.8041099266406797
10,,,,,eval,0.3704064590067623,0.08353394219860628,0.5604361956109852,0.3968759871802132
11,,,,,eval,0.35485974940886933,0.3873853718224414,0.27202341422287907,0.4001718637129479
12,,,,,eval,0.2774762746763523,0.23629057215924112,0.2655496447660737,0.3121833054594956
13,,,,,eval,0.17933018323797426,0.1112685430778313,0.2095411993579235,0.19733503648244138
14,,,,,eval,0.17282254533051977,0.1497822164715769,0.16859912266977942,0.19030837045570803
15,,,,,eval,0.15603450947277878,0.14588759115238795,0.13374408441292293,0.17983979199273012
