rounds,global_train_loss,client_1_train_loss,client_2_train_loss,client_3_train_loss,phase,global_eval_loss,client_1_eval_loss,client_2_eval_loss,client_3_eval_loss
1,0.06152050898404931,0.052321890798898846,0.07672493651921045,0.05519772245630112,train,,,,
2,0.03881280908076338,0.036145106844815166,0.04486723272554353,0.03567196325043686,train,,,,
3,0.021664017010615964,0.022902434655589613,0.018505358615904778,0.02339864505929412,train,,,,
4,0.01807066285172686,0.019661109111750657,0.013190152871889004,0.020953143576894272,train,,,,
5,0.017638000247833727,0.019240121876722888,0.012574600387397156,0.020658503470680333,train,,,,
6,0.01753119359304623,0.019138034599030067,0.01243819468713552,0.02057226270848014,train,,,,
7,0.017471853832689916,0.019092107662244846,0.012368664534613142,0.020512622803997328,train,,,,
8,0.01742602319315145,0.019058611635344957,0.012311805368888068,0.020467833117009417,train,,,,
9,0.017379636744837657,0.019030879578187398,0.012244250752598343,0.020426588167916836,train,,,,
10,0.017340567245563845,0.019002317896618052,0.012200367068656098,0.02038476519777672,train,,,,
11,0.017303387998566604,0.018981139140904914,0.012141983250745832,0.020354418008008687,train,,,,
12,0.01726546776288184,0.01895465973900397,0.012093712066382394,0.020317559894197944,train,,,,
13,0.017228308663642174,0.0189327736471889,0.012038761430237906,0.02028497618555796,train,,,,
14,0.01719373265239702,0.01890915220505313,0.01198676584965162,0.02025738379579269,train,,,,
15,0.01715995501414064,0.018880599049421458,0.011946636928009466,0.020225382078302073,train,,,,
1,,,,,eval,0.05475073424265456,0.05400675736285288,0.05416804171889857,0.055667170515392765
2,,,,,eval,0.026973182527302905,0.02400505607874406,0.02211035196697968,0.0326300762070813
3,,,,,eval,0.018362454096443947,0.014425691525049474,0.01218645332624808,0.02564962982421505
4,,,,,eval,0.01714632717450703,0.013048547118192174,0.010916573557620669,0.024574808171524118
5,,,,,eval,0.01699255349218192,0.012821320906143586,0.010828155546434145,0.02441464843372826
6,,,,,eval,0.01690270230089459,0.012625520937960976,0.010746684948980309,0.02438328918320356
7,,,,,eval,0.016856385048832263,0.012612792586210788,0.010747679762707171,0.024279039570777622
8,,,,,eval,0.016810716504866093,0.012605092123109618,0.01072998662599517,0.02418799034071863
9,,,,,eval,0.016736969846813835,0.012477741921643479,0.01062205007477058,0.024174129907122126
10,,,,,eval,0.016673010419878908,0.01239829134632681,0.010541961681702464,0.024132402565312253
11,,,,,eval,0.01663463205549847,0.012448016856831709,0.010531109878364064,0.024018192413520958
12,,,,,eval,0.01658595988427845,0.01243837311201414,0.010483158479997978,0.023944971867761664
13,,,,,eval,0.01651010396028072,0.012308343531755254,0.010366279951237603,0.023934738435909694
14,,,,,eval,0.01648105710102411,0.012357659414854361,0.01036225603755191,0.023837818535671188
15,,,,,eval,0.01641978364585904,0.01228411831880942,0.010276362641463269,0.023803489668597397
