rounds,global_train_loss,client_1_train_loss,client_2_train_loss,client_3_train_loss,phase,global_eval_loss,client_1_eval_loss,client_2_eval_loss,client_3_eval_loss
1,0.05468852022086721,0.04696788327836315,0.06804251150078093,0.04891079647799409,train,,,,
2,16.731877645614063,17.677764372111334,16.480506308697937,16.33940046066265,train,,,,
3,0.12307254624582635,0.12711284800700332,0.13680825026088594,0.109627866784656,train,,,,
4,1.5161846148661757,1.6866628745306842,1.4549819866413753,1.4580810122767933,train,,,,
5,0.5382373868946312,0.5373543623246645,0.6035830904859082,0.48686361202571177,train,,,,
6,0.793977415437316,0.9205583527503226,0.7321758344558548,0.7638342762779071,train,,,,
7,0.4269298071867446,0.42815836289150994,0.4886174692748822,0.37714079773698017,train,,,,
8,0.6460203051022515,0.7632098538190247,0.5902946036875099,0.6169290308036731,train,,,,
9,0.3930376851512967,0.39944220151495835,0.453753395187802,0.34078031711100926,train,,,,
10,0.6304359877649721,0.7581900139569271,0.5743522772300262,0.595014689252706,train,,,,
11,0.40307426219773773,0.41323101923533295,0.4685276989699589,0.3447027710737384,train,,,,
12,0.6152684727849963,0.7517885796454271,0.5603772921041988,0.5734110142530446,train,,,,
13,0.4254134149613431,0.43888181747212585,0.4954625635351679,0.36131651284803457,train,,,,
14,0.6339940113823699,0.7851413806440376,0.5798591962033298,0.5823772500789665,train,,,,
15,0.4382591123908544,0.4550875088705225,0.5108939479605576,0.37000378426376856,train,,,,
1,,,,,eval,19.206173303563972,18.957030284356573,18.932797372015017,19.57474624520111
2,,,,,eval,0.2156132705023711,0.21770330574747807,0.2212734450784573,0.20986738518599107
3,,,,,eval,1.9846381008226217,1.9567988630914352,1.9418814774473554,2.0354468123832725
4,,,,,eval,0.7380993197702619,0.7506063621847002,0.7608948098033879,0.7124457833985381
5,,,,,eval,1.1091229824637754,1.0800732743407888,1.0656763641538953,1.161219340183426
6,,,,,eval,0.6332407771279761,0.6451134816607728,0.6559035823408831,0.608081587185783
7,,,,,eval,0.9517947450131851,0.9243421034974206,0.9105459538843873,1.0011773521316518
8,,,,,eval,0.6174074960440382,0.6294973260657479,0.640458350018707,0.5918090133289312
9,,,,,eval,0.9672593668671445,0.9399987398069276,0.9255672497963593,1.0168734520669858
10,,,,,eval,0.6458975854651723,0.6588302889267857,0.6700662931010728,0.6189000538058911
11,,,,,eval,0.9821422163131401,0.9551832380509838,0.9401993105767714,1.0317686470158505
12,,,,,eval,0.6841633443583901,0.6980096829670385,0.709517018788293,0.6556703828780608
13,,,,,eval,1.045926519772994,1.0187955418182824,1.0029036557569648,1.096509923281786
14,,,,,eval,0.7092897287262269,0.723863849206773,0.7354549640665163,0.6797098731888679
15,,,,,eval,1.1962270525096712,1.1680509370328314,1.150672582701612,1.2494481904353056
