time,lat,lon,vehicle_speed,accel_x,accel_y,accel_z,engine_rpm,absolute_throttle_pos,fuel_level,gps_speed,fuel_rate,alcohol_fuel_percentage,fuel_remaining,instant_fuel_economy,calculated_load_value,accelerator_pedal_pos_d,accelerator_pedal_pos_e,id_route,vehicle,loc_coleta,time_sec,dt,x,y,P_kW,client
0.014,-20.04664,-43.96355,0,-4.825422,4.42994,1.71239,0.0,0.0,0.0,18.71795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSVLog_20240920_093107,nivus,rjdf,0.014,0.0,0.0,0.0,0.0,client3
0.817,-20.04659,-43.9636,21,0.04526355,0.6474699,0.9473105,1660.5,18.03922,90.19608,21.2892,0.0,63.13726,12.62745,0.0,21.96078,32.94118,32.94118,CSVLog_20240920_093107,nivus,rjdf,0.817,0.0030000000000000027,-5.222903803851574,5.559746332284177,0.0,client3
1.338,-20.04659,-43.9636,22,-1.537687,0.2653874,0.6134586,1829.0,44.70588,90.19608,21.2892,0.0,63.13726,12.62745,25.31225,40.39216,36.86274,37.2549,CSVLog_20240920_093107,nivus,rjdf,1.338,0.5210000000000001,-5.222903803851574,5.559746332284177,0.0,client3
1.819,-20.04654,-43.96362,22,-0.1600424,-0.2327012,-0.9942877,1829.0,44.70588,90.19608,22.84806,0.0,63.13726,12.62745,25.31225,40.39216,36.86274,37.2549,CSVLog_20240920_093107,nivus,rjdf,1.819,0.0009999999999998899,-7.312066489841301,11.119492664214691,0.0,client3
2.77,-20.04648,-43.96364,26,-0.2753277,0.3817888,1.255617,2234.5,73.72549,90.19608,27.11245,8.929734,63.13726,12.62745,34.34511,46.27451,36.86274,37.2549,CSVLog_20240920_093107,nivus,rjdf,2.77,0.004999999999999893,-9.401230139773222,17.79118826309717,86.4695909,client3
3.756,-20.0464,-43.96366,30,-0.0879275,-0.8667048,-1.575285,1820.0,72.15686,90.19608,32.13408,8.239316,63.13726,12.62745,27.46437,47.45098,36.07843,36.07843,CSVLog_20240920_093107,nivus,rjdf,3.756,0.0040000000000000036,-11.490395320432194,26.686782394822583,79.78404326666666,client3
4.769,-20.04632,-43.96369,34,1.044577,-1.376258,-2.806417,1721.0,29.01961,90.19608,36.34572,6.547528,63.13726,12.62745,19.25742,40.0,26.66667,25.88235,CSVLog_20240920_093107,nivus,rjdf,4.769,0.0030000000000001137,-14.624143223798177,35.58237652584067,63.40189613333333,client3
5.783,-20.04623,-43.96374,35,1.653175,1.691417,3.031496,1619.0,16.07843,90.19608,36.27366,2.9563,63.13726,12.62745,8.446567,12.54902,14.5098,14.5098,CSVLog_20240920_093107,nivus,rjdf,5.783,0.0030000000000001137,-19.847057205886852,45.58991992416439,28.626838333333332,client3
6.789,-20.04615,-43.96378,35,0.5328778,-0.6562448,-1.417475,1624.0,15.29412,90.19608,35.74126,2.025903,63.13726,12.62745,5.78829,9.803922,14.5098,14.5098,CSVLog_20240920_093107,nivus,rjdf,6.789,0.006999999999999673,-24.025391158823297,54.48551405553614,19.61749405,client3
7.787,-20.04606,-43.96381,34,1.849247,0.8996895,-1.613225,1642.5,15.29412,90.19608,35.3727,2.065382,63.13726,12.62745,6.07465,9.411765,14.5098,14.5098,CSVLog_20240920_093107,nivus,rjdf,7.787,0.0030000000000001137,-27.159145615457994,64.4930574535062,19.999782366666665,client3
8.782,-20.04598,-43.96382,33,-0.373488,1.101772,0.9515114,1568.5,13.72549,90.19608,35.01656,1.629129,63.13726,12.62745,4.936751,6.666667,20.39216,18.43137,CSVLog_20240920_093107,nivus,rjdf,8.782,0.0039999999999995595,-28.20373532317326,73.38865158523161,15.775399150000002,client3
9.772,-20.04589,-43.96382,34,-0.8486369,0.2727781,0.406404,1612.0,78.82353,90.19608,36.12495,5.284954,63.13726,12.62745,15.54397,36.07843,45.09804,45.4902,CSVLog_20240920_093107,nivus,rjdf,9.772,0.0009999999999994458,-28.20374340580988,83.39619498320167,51.17597123333333,client3
10.778,-20.04579,-43.96383,37,-0.38885,0.5407277,0.3452162,1726.5,86.66666,90.19608,39.91453,7.031688,63.13726,12.62745,19.00455,50.19608,47.05882,47.84314,CSVLog_20240920_093107,nivus,rjdf,10.778,0.005000000000000782,-29.24833580903107,94.51568764777002,68.0901788,client3
11.743,-20.04568,-43.96383,42,0.1533216,-0.06305343,-0.4071274,1944.5,87.45098,90.19608,45.20638,9.925747,63.13726,12.62745,23.63271,66.27451,46.66667,47.05882,CSVLog_20240920_093107,nivus,rjdf,11.743,0.002000000000000668,-29.248346053640834,106.74712957858301,96.11431678333332,client3
12.748,-20.04555,-43.96383,46,0.4346855,-0.6143507,0.2396634,2139.0,87.45098,90.19608,50.07438,13.05815,63.13726,12.62745,28.38725,76.86275,46.27451,47.05882,CSVLog_20240920_093107,nivus,rjdf,12.748,0.0019999999999988916,-29.248358160872165,121.20247004259261,126.44641916666667,client3
13.744,-20.04542,-43.96383,53,-0.1849182,0.2810164,-0.4141016,2478.5,87.05882,90.19608,56.75985,16.0598,63.13726,12.62745,30.30148,78.43137,46.27451,46.66667,CSVLog_20240920_093107,nivus,rjdf,13.744,0.006999999999999673,-29.248370268065855,135.65781050624852,155.51239666666666,client3
14.767,-20.04526,-43.96383,58,2.658552,1.463015,-13.33833,2713.5,87.45098,90.19608,61.85486,18.62981,63.13726,12.62745,32.12033,78.82353,46.27451,46.66667,CSVLog_20240920_093107,nivus,rjdf,14.767,0.0009999999999994458,-29.248385169175645,153.4489987693457,180.39866016666667,client3
15.781,-20.04509,-43.96384,66,-0.5603597,-0.6039858,0.3633873,2262.5,87.05882,90.19608,67.47538,15.66248,63.13726,12.62745,23.73102,79.21568,46.27451,46.66667,CSVLog_20240920_093107,nivus,rjdf,15.781,0.002000000000000668,-30.29298675105159,172.35213629904118,151.66501466666668,client3
