time,lat,lon,vehicle_speed,accel_x,accel_y,accel_z,engine_rpm,absolute_throttle_pos,fuel_level,gps_speed,fuel_rate,alcohol_fuel_percentage,fuel_remaining,instant_fuel_economy,calculated_load_value,accelerator_pedal_pos_d,accelerator_pedal_pos_e,id_route,vehicle,loc_coleta,time_sec,dt,x,y,P_kW,client
0.0,-17.740269,-46.176544,8,-0.63461715,-0.16047743,0.37675768,1072.5,0.0,0.0,9.048859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CSVLog_20240921_070315,nivus,rjdf,0.0,0.0,0.0,0.0,0.0,client3
1.011,-17.740265,-46.17657,9,-0.669208,-0.07026089,-0.2307376,1098.0,18.82353,41.960785,9.436309,0.0,36.07843,5.87451,34.14311,23.921568,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,1.011,1.011,-2.753590790891268,0.4447797065685877,0.0,client3
1.974,-17.740253,-46.176594,9,0.12299643,0.17919274,1.0956184,1093.5,20.784313,41.960785,9.703665,3.330999,36.07843,5.87451,37.011074,29.411764,23.529411,23.529411,CSVLog_20240921_070315,nivus,rjdf,1.974,0.9630000000000001,-5.295367084102645,1.7791188266280122,32.25517365,client3
3.024,-17.740236,-46.176617,9,-0.29549298,-0.16460729,0.109103374,1093.5,20.784313,41.960785,10.622532,3.330999,36.07843,5.87451,37.011074,29.411764,23.529411,23.529411,CSVLog_20240921_070315,nivus,rjdf,3.024,1.05,-7.731236309892224,3.6694325796329252,32.25517365,client3
4.003,-17.740217,-46.176643,12,0.31655028,0.5101283,-0.31935802,1776.0,21.568628,41.960785,13.915277,3.5477188,36.07843,5.87451,29.5643,32.54902,27.058823,26.27451,CSVLog_20240921_070315,nivus,rjdf,4.003,0.9790000000000001,-10.484827879875265,5.782136185391639,34.35374371333334,client3
5.024,-17.740202,-46.176674,14,0.5800936,0.1895937,-1.2240742,1354.0,21.960785,41.960785,15.851349,6.510313,36.07843,5.87451,46.5022,29.80392,14.117647,14.509804,CSVLog_20240921_070315,nivus,rjdf,5.024,1.021,-13.767956378692517,7.45006008528909,63.04153088333333,client3
6.015,-17.740177,-46.17671,16,1.0763596,0.460751,-0.08730721,1130.0,15.686275,41.960785,16.007935,2.603881,36.07843,5.87451,16.274244,17.254902,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,6.015,0.9909999999999997,-17.580622449344073,10.229933251431177,25.21424768333333,client3
6.996,-17.74015,-46.176735,16,0.26435405,-0.09805746,-0.33173302,1098.5,17.647058,41.960785,16.355808,2.281382,36.07843,5.87451,14.258627,17.254902,22.745098,26.27451,CSVLog_20240921_070315,nivus,rjdf,6.996,0.9810000000000008,-20.2283080776021,13.23219627068073,22.091382366666664,client3
8.007,-17.740124,-46.176765,16,0.18777566,0.094603755,0.33665794,1284.0,21.960785,41.960785,16.138235,2.6845267,36.07843,5.87451,16.778278,29.411764,25.882353,22.352942,CSVLog_20240921_070315,nivus,rjdf,8.007,1.0109999999999992,-23.4055309410072,16.123264363553382,25.995166878333336,client3
9.009,-17.740105,-46.176804,18,0.49068233,-0.1332406,-0.67916924,1451.5,17.254902,41.960785,18.374582,3.1919546,36.07843,5.87451,17.733068,16.862745,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,9.009,1.0020000000000007,-27.535920214178862,18.235967970019416,30.908760376666667,client3
9.992,-17.740084,-46.17685,18,-0.23342758,-0.03206153,0.15655483,1238.5,14.509804,41.960785,18.719288,2.81329,36.07843,5.87451,15.629378,12.156863,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,9.992,0.9830000000000005,-32.40766184479686,20.57106142959292,27.24202483333333,client3
10.983,-17.740063,-46.176895,18,0.16671842,-0.020888716,0.17086156,1122.5,14.117647,41.960785,18.620222,2.0873518,36.07843,5.87451,11.596391,11.372549,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,10.983,0.9909999999999997,-37.173496648369834,22.90615488916642,20.21252326333333,client3
12.043,-17.740042,-46.17694,17,0.116947785,0.2504398,0.9951267,1097.5,13.333333,41.960785,17.812025,1.7972547,36.07843,5.87451,10.572079,9.803922,14.90196,14.509804,CSVLog_20240921_070315,nivus,rjdf,12.043,1.0599999999999987,-41.93933201075621,25.241248348386257,17.403416345,client3
12.988,-17.740023,-46.176987,16,-0.15610945,-0.10932466,0.4921908,990.5,12.941176,41.960785,17.069147,1.4239836,36.07843,5.87451,8.899891,9.411765,14.117647,14.509804,CSVLog_20240921_070315,nivus,rjdf,12.988,0.9450000000000003,-46.916982490035814,27.353951954498633,13.78890786,client3
14.04,-17.740002,-46.17703,16,-0.45962548,-0.17527674,-0.12165227,972.5,12.941176,41.960785,16.828217,1.4067926,36.07843,5.87451,8.792447,9.019608,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,14.04,1.0519999999999996,-51.471004124577355,29.689045414072133,13.622441676666666,client3
15.003,-17.73998,-46.17707,16,-0.26029563,0.15887064,-0.14956293,975.0,12.941176,41.960785,16.527689,1.4010623,36.07843,5.87451,8.756633,9.019608,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,15.003,0.963000000000001,-55.70730418172443,32.135333800376195,13.566953271666666,client3
16.0,-17.73996,-46.17711,16,-0.002692589,0.13522395,-0.5177491,1029.0,13.725491,41.960785,16.673067,2.1583278,36.07843,5.87451,13.489538,23.529411,29.019608,29.019608,CSVLog_20240921_070315,nivus,rjdf,16.0,0.9969999999999999,-59.94360442454945,34.35923233321914,20.899807529999997,client3
17.027,-17.739939,-46.177155,17,0.16627647,0.23638383,-0.81039476,1542.0,20.0,41.960785,18.516193,4.296304,36.07843,5.87451,25.27236,25.09804,23.529411,23.529411,CSVLog_20240921_070315,nivus,rjdf,17.027,1.027000000000001,-64.70944249229538,36.69432579279264,41.602543733333334,client3
17.982,-17.739918,-46.177204,19,-0.24002124,0.11855722,-0.011500091,1587.0,20.784313,41.960785,20.001984,4.3937197,36.07843,5.87451,23.124825,25.09804,23.921568,23.529411,CSVLog_20240921_070315,nivus,rjdf,17.982,0.9549999999999983,-69.89891088210037,39.02941925236614,42.54585242833334,client3
19.03,-17.739887,-46.177254,20,-0.041387744,-0.19590215,-0.031936858,1704.0,21.17647,41.960785,22.172344,4.8657756,36.07843,5.87451,24.32886,24.705883,23.529411,23.137255,CSVLog_20240921_070315,nivus,rjdf,19.03,1.0480000000000018,-75.19428942563928,42.47646197853794,47.11692706,client3
20.055,-17.739853,-46.177307,21,0.052317183,0.4400149,0.051637016,1780.0,20.0,41.960785,23.686312,4.738634,36.07843,5.87451,22.564909,21.960785,21.568628,14.509804,CSVLog_20240921_070315,nivus,rjdf,20.055,1.0249999999999986,-80.80739194029276,46.257089484194104,45.88577256666667,client3
20.994,-17.739815,-46.17736,22,0.5079211,-0.18167299,0.82893455,1637.0,13.333333,41.960785,24.455786,3.2999878,36.07843,5.87451,14.999934,9.411765,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,20.994,0.9390000000000001,-86.42049648625581,50.482496696772515,31.95488186333333,client3
22.05,-17.739782,-46.177418,22,0.15727922,-0.16898942,0.79817367,1250.5,12.54902,41.960785,23.36537,1.2699195,36.07843,5.87451,5.7723575,7.0588236,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,22.05,1.056000000000001,-92.563138342588,54.151929275698116,12.297053825,client3
23.071,-17.739752,-46.17747,22,-0.06592982,-0.44169793,0.6086542,1182.0,12.156863,41.960785,23.54594,1.3359468,36.07843,5.87451,6.072481,6.6666665,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,23.071,1.0210000000000008,-98.07033556468411,57.48777707549302,12.936418180000002,client3
24.044,-17.739721,-46.177525,22,0.23939393,-0.8471403,0.11856437,1165.0,12.156863,41.960785,23.593515,1.2920439,36.07843,5.87451,5.8729224,6.6666665,14.509804,14.509804,CSVLog_20240921_070315,nivus,rjdf,24.044,0.972999999999999,-103.89525649660125,60.93481980131116,12.511291764999998,client3
