lat,lon,vehicle_speed,accel_x,accel_y,accel_z,engine_rpm,mass_air_flow,fuel_level,gps_speed,fuel_rate,fuel_remaining,instant_fuel_economy,calculated_load_value,fuel_rail_pressure,id_route,vehicle,loc_coleta,time_sec,dt,x,y,P_kW,client
-23.0055,-44.45628,19,-0.1559041,-0.710082,0.1638196,1031,13.97,66.66666,0.0,4.646437,9.333333,24.45491,61.56863,74000,obd-16-van-circuito-t1,van,eletronuclear,0.103,0.0010000000000000009,0.0,0.0,54.85377013888889,client2
-23.01731,-44.52915,46,0.7246231,-0.2007787,0.6873343,1611,21.47,65.88235,41.54201,7.140945,9.22353,15.52378,28.23529,78400,obd-16-van-circuito-t1,van,eletronuclear,885.127,0.0,-7458.012717317682,-1313.2120836718711,84.30282291666667,client2
-23.01731,-44.52933,46,0.9827127,-0.3625429,0.08412306,1567,29.98,65.88235,41.16988,9.971381,9.22353,21.6769,0.0,58800,obd-16-van-circuito-t1,van,eletronuclear,886.734,0.0,-7476.435144779075,-1313.2120836718711,117.71769236111109,client2
-23.01731,-44.52933,45,-0.09071138,-0.0113427,-0.04431234,1567,29.18,65.88235,41.16988,9.7053,9.22353,21.56732,0.0,58400,obd-16-van-circuito-t1,van,eletronuclear,886.748,0.0,-7476.435144779075,-1313.2120836718711,114.57645833333333,client2
-23.01732,-44.52939,45,0.1320549,-1.205713,-1.504889,1567,29.18,65.88235,42.87567,9.7053,9.22353,21.56732,0.0,58400,obd-16-van-circuito-t1,van,eletronuclear,887.139,0.0009999999999763531,-7482.575676606963,-1314.3240329388232,114.57645833333333,client2
-23.01735,-44.52951,42,0.3219625,0.1930559,-0.1439551,1437,26.92,65.88235,43.09591,8.953622,9.22353,21.31813,0.0,58600,obd-16-van-circuito-t1,van,eletronuclear,888.067,0.0,-7494.856461114844,-1317.6598807379107,105.70248194444444,client2
-23.01739,-44.52962,39,0.487711,-0.5027714,-0.1587251,1324,25.64,65.88235,42.23672,8.527892,9.22353,21.86637,0.0,60000,obd-16-van-circuito-t1,van,eletronuclear,889.031,0.0019999999999527063,-7506.113496765808,-1322.1076778035965,100.67650277777777,client2
-23.01739,-44.52962,38,0.1418061,-0.5307044,0.1826619,1298,25.42,65.88235,42.23672,8.45472,9.22353,22.24925,0.0,47000,obd-16-van-circuito-t1,van,eletronuclear,889.125,0.0009999999999763531,-7506.113496765808,-1322.1076778035965,99.81266666666667,client2
-23.01743,-44.52973,35,0.5210298,-0.1375371,0.07782172,1219,23.81,65.88235,40.5859,7.919232,9.22353,22.62636,0.0,45400,obd-16-van-circuito-t1,van,eletronuclear,890.111,0.0,-7517.370529077123,-1326.555474869636,93.49093333333333,client2
-23.01747,-44.52982,33,0.2235796,-0.1362631,-0.4285757,1157,22.26,65.88235,37.58001,7.4037,9.22353,22.43544,0.0,43800,obd-16-van-circuito-t1,van,eletronuclear,891.02,0.0029999999999290594,-7526.580622879697,-1331.0032719349683,87.40479166666667,client2
-23.01747,-44.52982,33,0.3038779,0.05399671,0.5054556,1149,21.98,65.88235,37.58001,7.310572,9.22353,22.15323,0.0,43800,obd-16-van-circuito-t1,van,eletronuclear,891.219,0.0,-7526.580622879697,-1331.0032719349683,86.30536388888888,client2
-23.01751,-44.5299,32,0.1602739,0.3534186,0.1566523,1134,21.68,65.88235,34.25964,7.210792,9.22353,22.53371,8.627451,45400,obd-16-van-circuito-t1,van,eletronuclear,892.15,0.0009999999999763531,-7534.767246515098,-1335.451069001008,85.12740555555555,client2
-23.01756,-44.52998,33,-0.3451076,0.4123696,-0.8779386,1178,16.44,65.88235,30.77917,5.467962,9.22353,16.56957,34.5098,61600,obd-16-van-circuito-t1,van,eletronuclear,893.082,0.0009999999999763531,-7542.953588157644,-1341.0108153332922,64.55232916666667,client2
-23.01756,-44.52998,33,0.1343407,0.3993437,-0.6219804,1136,15.75,65.88235,30.77917,5.238467,9.22353,15.87413,35.68628,61800,obd-16-van-circuito-t1,van,eletronuclear,893.125,0.0,-7542.953588157644,-1341.0108153332922,61.843013194444445,client2
-23.0176,-44.53004,33,-0.1150672,-0.05389094,-0.4965799,1163,15.23,65.88235,28.39271,5.065515,9.22353,15.35003,52.54902,73600,obd-16-van-circuito-t1,van,eletronuclear,894.138,0.00100000000009004,-7549.093272448624,-1345.458612398978,59.801218750000004,client2
-23.01765,-44.53011,33,0.5514558,-0.4145343,-1.389413,1180,17.31,65.88235,28.18384,5.757325,9.22353,17.44643,64.70588,82800,obd-16-van-circuito-t1,van,eletronuclear,895.122,0.0,-7556.256141798726,-1351.0183587312622,67.96842013888889,client2
-23.01765,-44.53011,34,0.5514558,-0.4145343,-1.389413,1180,17.31,65.88235,28.18384,5.757325,9.22353,17.44643,64.70588,82800,obd-16-van-circuito-t1,van,eletronuclear,895.122,0.0,-7556.256141798726,-1351.0183587312622,67.96842013888889,client2
-23.01765,-44.53011,34,0.4988636,0.3181083,1.336663,1188,18.23,65.88235,28.18384,6.063318,9.22353,17.83327,70.58823,86400,obd-16-van-circuito-t1,van,eletronuclear,895.137,0.0029999999999290594,-7556.256141798726,-1351.0183587312622,71.5808375,client2
-23.01769,-44.53017,35,-0.1401382,0.2319295,0.01339976,1225,21.71,65.88235,30.27184,7.22077,9.22353,20.63075,85.09804,96400,obd-16-van-circuito-t1,van,eletronuclear,896.247,0.0,-7562.395822066742,-1355.4661557973018,85.24520138888889,client2
-23.01774,-44.53024,36,0.1937827,-0.1797804,0.8584526,1279,23.38,65.88235,34.52517,7.776214,9.22353,21.60058,88.62745,97400,obd-16-van-circuito-t1,van,eletronuclear,897.151,0.0009999999999763531,-7569.558686558833,-1361.0259021292322,91.8025263888889,client2
-23.0178,-44.53033,38,0.5228956,-0.2668483,0.1977622,1336,24.12,65.88235,39.21397,8.022339,9.22353,21.1114,84.31373,103200,obd-16-van-circuito-t1,van,eletronuclear,898.095,0.0009999999999763531,-7578.768200242922,-1367.6975977281147,94.70816875,client2
-23.0178,-44.53033,38,0.2871108,-0.3600139,-0.7703233,1355,24.63,65.88235,39.21397,8.191965,9.22353,21.55779,81.96078,101600,obd-16-van-circuito-t1,van,eletronuclear,898.135,0.0009999999999763531,-7578.768200242922,-1367.6975977281147,96.71069791666667,client2
-23.01786,-44.53043,40,0.1675647,0.160475,-0.7227529,1411,25.54,65.88235,41.30678,8.494632,9.22353,21.23656,79.21568,107800,obd-16-van-circuito-t1,van,eletronuclear,899.16,0.0009999999999763531,-7589.001175934945,-1374.3692933262898,100.28384999999997,client2
-23.01793,-44.53054,42,-0.06842221,0.07597373,0.281943,1471,25.1,65.88235,43.11661,8.348288,9.22353,19.87686,68.62745,103600,obd-16-van-circuito-t1,van,eletronuclear,900.104,0.0,-7600.257331258219,-1382.1529381917705,98.55617777777778,client2
-23.01793,-44.53054,42,0.1859411,-0.4651432,-0.283237,1480,24.54,65.88235,43.11661,8.162031,9.22353,19.43339,67.84314,105000,obd-16-van-circuito-t1,van,eletronuclear,900.132,0.0,-7600.257331258219,-1382.1529381917705,96.35731041666669,client2
-23.018,-44.53064,43,0.5015455,-0.2490551,-0.6983384,1513,24.59,65.88235,45.02889,8.178661,9.22353,19.02013,66.27451,105000,obd-16-van-circuito-t1,van,eletronuclear,901.075,0.0,-7610.490015161877,-1389.9365830568977,96.55363680555556,client2
-23.01808,-44.53074,45,0.3439031,0.1065619,0.333203,1565,26.14,65.88235,46.63974,8.694193,9.22353,19.32041,65.88235,110200,obd-16-van-circuito-t1,van,eletronuclear,902.031,0.0049999999999954525,-7620.722411301885,-1398.832177188623,102.63977847222223,client2
-23.01808,-44.53074,45,0.5702854,0.1159651,-0.3021213,1581,25.91,65.88235,46.63974,8.617694,9.22353,19.15042,65.88235,106600,obd-16-van-circuito-t1,van,eletronuclear,902.113,0.00100000000009004,-7620.722411301885,-1398.832177188623,101.73666527777777,client2
-23.01816,-44.53085,46,-0.03752407,-0.3275625,0.3950907,1624,27.25,65.88235,48.01819,9.06338,9.22353,19.70299,65.09804,105600,obd-16-van-circuito-t1,van,eletronuclear,903.147,0.00100000000009004,-7631.978266335679,-1407.7277713199949,106.99823611111111,client2
-23.01824,-44.53096,48,-0.0388972,0.07515245,0.747659,1661,27.5,65.88235,48.93093,9.14653,9.22353,19.05526,63.52941,109800,obd-16-van-circuito-t1,van,eletronuclear,904.05,0.0019999999999527063,-7643.234114690133,-1416.6233654513667,107.97986805555556,client2
-23.01824,-44.53096,48,-0.02233017,-0.3427259,0.4369106,1675,27.66,65.88235,48.93093,9.199746,9.22353,19.16612,62.7451,109800,obd-16-van-circuito-t1,van,eletronuclear,904.141,0.0009999999999763531,-7643.234114690133,-1416.6233654513667,108.6081125,client2
-23.01831,-44.53107,49,0.6212021,-0.1804269,0.4807043,1715,28.0,65.88235,50.51019,9.312831,9.22353,19.00576,61.56863,111600,obd-16-van-circuito-t1,van,eletronuclear,905.21,0.00100000000009004,-7654.490240068576,-1424.4070103164938,109.94314374999999,client2
-23.01831,-44.53107,49,-0.1313352,-0.127141,0.5633933,1721,28.2,65.88235,50.51019,9.379351,9.22353,19.14152,60.78431,113800,obd-16-van-circuito-t1,van,eletronuclear,905.219,0.0,-7654.490240068576,-1424.4070103164938,110.72844930555556,client2
-23.01839,-44.53119,50,-0.1866832,-0.3341741,0.8041648,1753,28.33,65.88235,51.94865,9.422589,9.22353,18.84516,61.17647,114200,obd-16-van-circuito-t1,van,eletronuclear,906.063,0.013000000000033651,-7666.769539576389,-1433.3026044482192,111.23889791666667,client2
-23.01839,-44.53119,50,0.1151568,0.7786323,0.4199117,1757,28.86,65.88235,51.94865,9.598867,9.22353,19.19772,65.09804,119200,obd-16-van-circuito-t1,van,eletronuclear,906.176,0.00100000000009004,-7666.769539576389,-1433.3026044482192,113.31995763888888,client2
-23.01847,-44.5313,52,-0.5497167,-0.140665,0.2657185,1809,32.64,65.88235,52.71807,10.8561,9.22353,20.8771,74.11765,125000,obd-16-van-circuito-t1,van,eletronuclear,907.144,0.0009999999999763531,-7678.025368005027,-1442.1981985799446,128.16229166666668,client2
-23.01855,-44.53141,53,-0.06163613,-0.3329031,0.07414962,1856,34.31,65.88235,54.30312,11.41154,9.22353,21.5312,69.41177,125800,obd-16-van-circuito-t1,van,eletronuclear,908.085,0.0049999999999954525,-7689.281189752954,-1451.0937927113164,134.71956944444443,client2
-23.01855,-44.53141,53,0.881641,0.3684822,0.2617048,1866,33.93,65.88235,54.30312,11.28516,9.22353,21.29273,39.21569,102600,obd-16-van-circuito-t1,van,eletronuclear,908.145,0.0009999999999763531,-7689.281189752954,-1451.0937927113164,133.22758333333334,client2
-23.01863,-44.53154,54,-0.3998588,0.006065297,-1.112552,1878,24.41,65.88235,55.7989,8.118793,9.22353,15.03479,37.64706,98400,obd-16-van-circuito-t1,van,eletronuclear,909.142,0.0,-7702.5839311913205,-1459.9893868430418,95.84686180555556,client2
-23.01871,-44.53166,54,-0.06459706,-0.6746274,-0.1001997,1895,23.33,65.88235,56.18458,7.759583,9.22353,14.36959,36.86274,99800,obd-16-van-circuito-t1,van,eletronuclear,910.127,0.0009999999999763531,-7714.863201854577,-1468.8849809744136,91.60618819444444,client2
-23.01871,-44.53166,55,0.1624553,0.2701841,-1.114952,1900,23.5,65.88235,56.18458,7.816126,9.22353,14.21113,37.2549,99800,obd-16-van-circuito-t1,van,eletronuclear,910.257,0.0009999999999763531,-7714.863201854577,-1468.8849809744136,92.27370972222222,client2
-23.0188,-44.53179,55,-0.01927381,-0.4471746,-0.2047196,1836,26.52,65.88235,56.34309,8.820581,9.22353,16.03741,0.0,60400,obd-16-van-circuito-t1,van,eletronuclear,911.075,0.0,-7728.165641369755,-1478.8925243723836,104.13185902777778,client2
-23.0188,-44.53179,55,-0.04787859,-1.639394,-0.7176162,1849,34.15,65.88235,56.34309,11.35833,9.22353,20.65149,0.0,57000,obd-16-van-circuito-t1,van,eletronuclear,911.082,0.0,-7728.165641369755,-1478.8925243723836,134.09139583333334,client2
-23.01888,-44.53192,49,-0.4953161,-0.5379081,-0.1240342,1657,32.52,65.88235,54.07706,10.81619,9.22353,22.07384,0.0,60000,obd-16-van-circuito-t1,van,eletronuclear,912.129,0.0009999999999763531,-7741.468358936,-1487.7881185037554,127.69113194444444,client2
-23.01896,-44.53203,39,0.376931,0.3161657,-0.2581493,1246,25.87,65.88235,48.11322,8.60439,9.22353,22.06252,0.0,51400,obd-16-van-circuito-t1,van,eletronuclear,913.101,0.0030000000000427463,-7752.724144741987,-1496.6837126354808,101.57960416666667,client2
-23.01896,-44.53203,36,-0.3231537,0.4335487,0.1650889,1021,22.35,65.88235,48.11322,7.433634,9.22353,20.64897,16.47059,45000,obd-16-van-circuito-t1,van,eletronuclear,913.174,0.0009999999999763531,-7752.724144741987,-1496.6837126354808,87.75817916666666,client2
-23.01902,-44.53212,28,-0.3382675,0.8903019,-0.2822742,850,12.38,65.88235,40.79763,4.117601,9.22353,14.70571,37.2549,47800,obd-16-van-circuito-t1,van,eletronuclear,914.153,0.0009999999999763531,-7761.933575991669,-1503.3554082343633,48.61056736111111,client2
-23.01906,-44.5322,28,-0.5571697,0.2963222,0.820807,1287,15.22,65.88235,31.51814,5.062189,9.22353,18.07923,58.43137,84000,obd-16-van-circuito-t1,van,eletronuclear,915.149,0.0,-7770.120117655984,-1507.803205300049,59.761953472222224,client2
-23.01909,-44.53225,29,0.5325622,-0.05665974,0.2866338,1509,29.58,65.88235,30.40796,9.838341,9.22353,33.92529,98.82353,116200,obd-16-van-circuito-t1,van,eletronuclear,916.112,0.0019999999999527063,-7775.236560869256,-1511.1390530991366,116.14708125,client2
-23.01909,-44.53225,29,0.2925236,0.002040129,-0.4057583,1545,33.76,65.88235,30.40796,11.22861,9.22353,38.71933,100.0,116600,obd-16-van-circuito-t1,van,eletronuclear,916.161,0.0009999999999763531,-7775.236560869256,-1511.1390530991366,132.55997916666666,client2
-23.01913,-44.53232,32,0.3140624,0.42864,0.1376217,1685,43.16,65.88235,33.39806,14.35506,9.22353,44.85954,100.0,128800,obd-16-van-circuito-t1,van,eletronuclear,917.151,0.0,-7782.399637145818,-1515.5868501651762,169.46945833333334,client2
-23.01918,-44.53239,35,-0.4386185,0.2123242,0.6142457,1831,50.98,65.88235,37.0652,16.956,9.22353,48.44569,100.0,132600,obd-16-van-circuito-t1,van,eletronuclear,918.131,0.0009999999999763531,-7789.562422580794,-1521.1465964971067,200.175,client2
-23.01918,-44.53239,36,-0.4352019,-0.2584993,0.1707637,1881,52.12,65.88235,37.0652,17.33517,9.22353,48.15321,100.0,133000,obd-16-van-circuito-t1,van,eletronuclear,918.161,0.0009999999999763531,-7789.562422580794,-1521.1465964971067,204.65131250000002,client2
-23.01923,-44.53247,39,-0.06313877,-0.3862592,0.2868201,2042,55.23,65.88235,40.98799,18.36956,9.22353,47.1014,100.0,137600,obd-16-van-circuito-t1,van,eletronuclear,919.166,0.0,-7797.748666268111,-1526.7063428297445,216.86286111111113,client2
-23.01929,-44.53256,41,-0.1523226,-0.2808723,0.8831634,1865,37.32,65.88235,42.74027,12.41267,9.22353,30.27479,2.352941,80000,obd-16-van-circuito-t1,van,eletronuclear,920.074,0.0,-7806.958078274942,-1533.3780384282734,146.5384652777778,client2
-23.01936,-44.53266,41,0.1391914,-0.3816081,-0.234597,1431,25.61,65.88235,42.87219,8.517914,9.22353,20.77538,96.86275,103200,obd-16-van-circuito-t1,van,eletronuclear,921.048,0.0019999999999527063,-7817.190656895115,-1541.1616832934005,100.55870694444445,client2
-23.01936,-44.53266,42,0.3869749,-0.1214316,-0.1842004,1431,25.61,65.88235,42.87219,8.517914,9.22353,20.77538,96.86275,103200,obd-16-van-circuito-t1,van,eletronuclear,921.054,0.005999999999971806,-7817.190656895115,-1541.1616832934005,100.55870694444445,client2
-23.01936,-44.53266,42,0.5481323,0.1210224,0.2590193,1468,26.06,65.88235,42.87219,8.667584,9.22353,20.63709,100.0,122200,obd-16-van-circuito-t1,van,eletronuclear,921.125,0.0009999999999763531,-7817.190656895115,-1541.1616832934005,102.32564444444445,client2
-23.01943,-44.53275,43,-0.224385,-0.1048163,-1.106195,1502,36.8,65.88235,44.64214,12.23972,9.22353,28.46445,100.0,115800,obd-16-van-circuito-t1,van,eletronuclear,921.991,0.8659999999999854,-7826.399770051039,-1548.9453281585277,144.49669444444444,client2
-23.01943,-44.53275,43,0.3203636,0.451247,0.7908443,1513,38.5,65.88235,44.64214,12.80514,9.22353,29.77938,100.0,120000,obd-16-van-circuito-t1,van,eletronuclear,922.103,0.0,-7826.399770051039,-1548.9453281585277,151.17179166666665,client2
-23.0195,-44.53285,45,0.1809756,-0.1959445,-0.982084,1577,41.16,65.88235,46.55396,13.68986,9.22353,30.42189,100.0,128400,obd-16-van-circuito-t1,van,eletronuclear,923.115,0.0019999999999527063,-7836.632338309952,-1556.7289730236548,161.61640277777778,client2
-23.0195,-44.53285,46,0.1733144,-0.1770789,-0.2780883,1602,41.94,65.88235,46.55396,13.94929,9.22353,30.32452,100.0,125400,obd-16-van-circuito-t1,van,eletronuclear,923.167,0.0,-7836.632338309952,-1556.7289730236548,164.67911805555556,client2
-23.01957,-44.53295,47,-0.3357769,-0.3259984,-1.327322,1657,44.16,65.88235,49.09847,14.68766,9.22353,31.25033,100.0,123000,obd-16-van-circuito-t1,van,eletronuclear,924.14,0.0,-7846.86490125382,-1564.5126178887817,173.3959861111111,client2
-23.01964,-44.53306,49,0.1823441,0.1976721,0.2071923,1713,45.54,65.88235,51.32952,15.14665,9.22353,30.91152,100.0,124800,obd-16-van-circuito-t1,van,eletronuclear,925.216,0.0,-7858.120918237841,-1572.2962627539089,178.81461805555557,client2
-23.01972,-44.53318,51,-1.0613,0.6268996,0.1295764,1771,47.03,65.88235,53.05743,15.64223,9.22353,30.67101,100.0,128600,obd-16-van-circuito-t1,van,eletronuclear,926.058,0.0009999999999763531,-7870.400096749016,-1581.1918568852807,184.66521527777778,client2
-23.01972,-44.53318,51,0.02047138,0.1303712,-0.7077551,1797,47.47,65.88235,53.05743,15.78857,9.22353,30.95797,100.0,130400,obd-16-van-circuito-t1,van,eletronuclear,926.118,0.002000000000066393,-7870.400096749016,-1581.1918568852807,186.3928402777778,client2
-23.01979,-44.5333,53,0.482212,-0.1799882,-0.2932279,1852,49.14,65.88235,54.60836,16.34402,9.22353,30.83775,100.0,134000,obd-16-van-circuito-t1,van,eletronuclear,927.156,0.0009999999999763531,-7882.679560144972,-1588.9755017507614,192.9502361111111,client2
-23.01987,-44.53342,55,0.1496764,-0.05482199,0.3260559,1909,50.36,65.88235,57.15787,16.74979,9.22353,30.45414,100.0,137200,obd-16-van-circuito-t1,van,eletronuclear,928.124,0.0,-7894.95872453727,-1597.8710958821332,197.74057638888888,client2
-23.01995,-44.53355,57,0.5137164,-0.04709543,-0.5342985,1985,51.99,65.88235,58.20835,17.29193,9.22353,30.3367,100.0,136400,obd-16-van-circuito-t1,van,eletronuclear,929.147,0.0,-7908.261339819538,-1606.7666900138586,204.14084027777778,client2
-23.02004,-44.53368,58,-0.4242146,-0.2935686,1.39023,2019,51.79,65.88235,59.39389,17.22541,9.22353,29.69896,55.68628,131600,obd-16-van-circuito-t1,van,eletronuclear,930.22,0.0,-7921.563653591847,-1616.7742334118286,203.35553472222222,client2
-23.02004,-44.53368,58,0.5295879,-0.7958914,0.3602576,1942,41.65,65.88235,59.39389,13.85284,9.22353,23.88418,3.529412,82000,obd-16-van-circuito-t1,van,eletronuclear,930.241,0.0,-7921.563653591847,-1616.7742334118286,163.5404722222222,client2
-23.02012,-44.53381,58,-0.3766363,0.2661371,-0.1896294,1274,26.19,65.88235,59.50783,8.710823,9.22353,15.01865,0.0,49800,obd-16-van-circuito-t1,van,eletronuclear,931.088,0.0009999999999763531,-7934.866252592536,-1625.6698275432004,102.83610486111112,client2
-23.02012,-44.53381,58,0.4086993,-0.01328529,0.06094798,988,21.59,65.88235,59.50783,7.180858,9.22353,12.38078,19.60784,38800,obd-16-van-circuito-t1,van,eletronuclear,931.119,0.0,-7934.866252592536,-1625.6698275432004,84.77401805555556,client2
-23.02021,-44.53394,57,-0.5052471,-0.1507065,0.2360941,1649,32.05,65.88235,59.11306,10.65987,9.22353,18.7015,78.03922,86600,obd-16-van-circuito-t1,van,eletronuclear,932.133,0.0,-7948.168549095235,-1635.6773709411705,125.8456875,client2
-23.0203,-44.53408,58,0.6570408,0.03653934,0.3252355,1546,30.54,65.88235,59.14787,10.15764,9.22353,17.51315,89.80392,120200,obd-16-van-circuito-t1,van,eletronuclear,933.116,0.0009999999999763531,-7962.494293566461,-1645.6849143391405,119.91658333333334,client2
-23.0203,-44.53408,58,0.14882,0.1416135,0.5114037,1549,31.44,65.88235,59.14787,10.45698,9.22353,18.02926,93.72549,115400,obd-16-van-circuito-t1,van,eletronuclear,933.141,0.0009999999999763531,-7962.494293566461,-1645.6849143391405,123.45045833333333,client2
-23.02038,-44.53421,59,-0.3026985,-0.09792826,-0.4774847,1568,34.4,65.88235,60.29615,11.44148,9.22353,19.39232,100.0,122000,obd-16-van-circuito-t1,van,eletronuclear,934.133,0.00100000000009004,-7975.796867592693,-1654.5805084708659,135.07302777777778,client2
-23.02047,-44.53434,59,0.2737693,0.1045228,-0.4627499,1592,35.38,65.88235,60.87437,11.76743,9.22353,19.94478,100.0,122600,obd-16-van-circuito-t1,van,eletronuclear,935.153,0.0009999999999763531,-7989.099137602545,-1664.588051868836,138.9210486111111,client2
-23.02057,-44.53448,60,-0.04308133,-0.7724271,-0.5810292,1615,36.77,65.88235,62.20028,12.22974,9.22353,20.38289,100.0,122200,obd-16-van-circuito-t1,van,eletronuclear,936.155,0.0019999999999527063,-8003.4245579408425,-1675.7075445330506,144.378875,client2
-23.02066,-44.53463,61,-0.6609544,-0.1785514,0.6461458,1637,37.16,65.88235,62.81841,12.35946,9.22353,20.26139,98.43137,122800,obd-16-van-circuito-t1,van,eletronuclear,937.054,0.0049999999999954525,-8018.773720321115,-1685.7150879313745,145.91029166666667,client2
-23.02066,-44.53463,61,0.9951239,0.09092113,-0.6332883,1646,35.7,65.88235,62.81841,11.87386,9.22353,19.46533,91.37255,122600,obd-16-van-circuito-t1,van,eletronuclear,937.131,0.0009999999999763531,-8018.773720321115,-1685.7150879313745,140.17751388888888,client2
-23.02075,-44.53477,62,0.09059198,-0.6861685,-0.9609694,1653,31.8,65.88235,63.96856,10.57671,9.22353,17.0592,80.0,118600,obd-16-van-circuito-t1,van,eletronuclear,938.137,0.0009999999999763531,-8033.099417310776,-1695.7226313293445,124.8639375,client2
-23.02084,-44.53492,62,-1.501647,-0.04040804,0.03178412,1664,29.58,65.88235,63.86473,9.838341,9.22353,15.86828,74.11765,115800,obd-16-van-circuito-t1,van,eletronuclear,939.101,0.0049999999999954525,-8048.44855953682,-1705.7301747273145,116.14708125,client2
-23.02084,-44.53492,62,0.09540401,0.1360584,-1.467399,1669,29.65,65.88235,63.86473,9.861623,9.22353,15.90583,70.19608,114600,obd-16-van-circuito-t1,van,eletronuclear,939.236,0.0,-8048.44855953682,-1705.7301747273145,116.42193819444445,client2
-23.02094,-44.53505,63,-0.6448936,-0.24707,0.8310496,1671,27.9,65.88235,64.29504,9.279571,9.22353,14.72947,67.05882,113600,obd-16-van-circuito-t1,van,eletronuclear,940.066,0.0030000000000427463,-8061.7504837771185,-1716.8496673918828,109.55049097222222,client2
-23.02094,-44.53505,63,-0.2263298,-0.007414129,-0.4213222,1679,27.52,65.88235,64.29504,9.153182,9.22353,14.52885,65.4902,112800,obd-16-van-circuito-t1,van,eletronuclear,940.149,0.0,-8061.7504837771185,-1716.8496673918828,108.0583986111111,client2
-23.02104,-44.53519,63,0.3250674,-0.2993081,-0.5967988,1675,25.98,65.88235,64.94207,8.640977,9.22353,13.71583,58.03922,107400,obd-16-van-circuito-t1,van,eletronuclear,941.138,0.002000000000066393,-8076.075852191686,-1727.9691600560975,102.01153402777777,client2
-23.02115,-44.53532,63,-0.3721114,-0.04755971,-0.01885014,1674,25.39,65.88235,64.83604,8.444742,9.22353,13.40434,38.43137,82000,obd-16-van-circuito-t1,van,eletronuclear,942.084,0.0039999999999054126,-8089.3774564693595,-1740.2006019869107,99.69487083333334,client2
-23.02115,-44.53532,63,0.5513465,0.5046799,-0.5313112,1664,23.43,65.88235,64.83604,7.792844,9.22353,12.36958,25.09804,73800,obd-16-van-circuito-t1,van,eletronuclear,942.157,0.0,-8089.3774564693595,-1740.2006019869107,91.99885277777778,client2
-23.02127,-44.53543,62,0.02352996,0.1001356,0.450489,1610,22.1,65.88235,64.00866,7.350484,9.22353,11.85561,13.72549,57400,obd-16-van-circuito-t1,van,eletronuclear,943.157,0.0,-8100.63184321258,-1753.5439931846756,86.77654722222222,client2
-23.02139,-44.53554,61,-0.3183727,-0.3257448,1.134604,1627,31.08,65.88235,63.07175,10.33724,9.22353,16.94629,0.0,59800,obd-16-van-circuito-t1,van,eletronuclear,944.189,0.0009999999999763531,-8111.886219931865,-1766.8873843817332,122.03686111111111,client2
-23.02152,-44.53564,60,0.4515354,0.3493557,0.5082003,1603,29.56,65.88235,61.63485,9.831688,9.22353,16.38614,14.5098,60600,obd-16-van-circuito-t1,van,eletronuclear,945.138,0.00100000000009004,-8122.116833307107,-1781.342724845389,116.06853888888888,client2
-23.02165,-44.53572,59,0.3925279,0.120693,0.1350247,1580,24.59,65.88235,60.98434,8.178661,9.22353,13.86213,15.68627,58800,obd-16-van-circuito-t1,van,eletronuclear,946.082,0.0009999999999763531,-8130.300533350712,-1795.7980653093987,96.55363680555556,client2
-23.02178,-44.5358,59,-0.423596,-0.2615731,0.6470008,1564,29.93,65.88235,60.83499,9.954751,9.22353,16.87245,7.45098,53600,obd-16-van-circuito-t1,van,eletronuclear,947.074,0.0019999999999527063,-8138.484225493796,-1810.2534057730545,117.52136597222223,client2
-23.02178,-44.5358,59,0.1411873,-0.3644935,-0.4111453,1553,27.5,65.88235,60.83499,9.14653,9.22353,15.50258,5.882353,54000,obd-16-van-circuito-t1,van,eletronuclear,947.103,0.0,-8138.484225493796,-1810.2534057730545,107.97986805555556,client2
-23.02192,-44.53588,58,-0.6882399,0.3993064,-0.972667,1540,27.19,65.88235,59.1222,9.043424,9.22353,15.5921,0.0,56600,obd-16-van-circuito-t1,van,eletronuclear,948.205,0.00100000000009004,-8146.667607761369,-1825.8206955036626,106.76264444444445,client2
